port,description,risk_score,risk_reason
1,TCP Port Service Multiplexer,50,Well-known port default risk.  These ports should not be providing services
2,Management Utility,50,Well-known port default risk.  These ports should not be providing services
3,Compression Process,50,Well-known port default risk.  These ports should not be providing services
5,Remote Job Entry,50,Well-known port default risk.  These ports should not be providing services
7,Echo,50,Well-known port default risk.  These ports should not be providing services
9,Discard,50,Well-known port default risk.  These ports should not be providing services
11,Active Users,50,Well-known port default risk.  These ports should not be providing services
13,Daytime,50,Well-known port default risk.  These ports should not be providing services
17,Quote of the Day,50,Well-known port default risk.  These ports should not be providing services
18,Message Send Protocol (historic),50,Well-known port default risk.  These ports should not be providing services
19,Character Generator,50,Well-known port default risk.  These ports should not be providing services
20,File Transfer [Default Data],60,Risk of poor implementation and operational processes
21,File Transfer Protocol [Control],60,Risk of poor implementation and operational processes
22,The Secure Shell (SSH) Protocol,40,"Risk of poor implementation and operational processes, known to be targeted"
23,Telnet,60,Risk of poor implementation and operational processes
24,any private mail system,50,Well-known port default risk.  These ports should not be providing services
25,Simple Mail Transfer,60,Prohibited by policy
27,NSW User System FE,50,Well-known port default risk.  These ports should not be providing services
29,MSG ICP,50,Well-known port default risk.  These ports should not be providing services
31,MSG Authentication,50,Well-known port default risk.  These ports should not be providing services
33,Display Support Protocol,50,Well-known port default risk.  These ports should not be providing services
35,any private printer server,50,Well-known port default risk.  These ports should not be providing services
37,Time,50,Well-known port default risk.  These ports should not be providing services
38,Route Access Protocol,50,Well-known port default risk.  These ports should not be providing services
39,Resource Location Protocol,50,Well-known port default risk.  These ports should not be providing services
41,Graphics,50,Well-known port default risk.  These ports should not be providing services
42,Host Name Server,50,Well-known port default risk.  These ports should not be providing services
43,Who Is,60,Prohibited by policy
44,MPM FLAGS Protocol,50,Well-known port default risk.  These ports should not be providing services
45,Message Processing Module [recv],50,Well-known port default risk.  These ports should not be providing services
46,MPM [default send],50,Well-known port default risk.  These ports should not be providing services
48,Digital Audit Daemon,50,Well-known port default risk.  These ports should not be providing services
49,Login Host Protocol (TACACS),50,Well-known port default risk.  These ports should not be providing services
50,Remote Mail Checking Protocol,50,Well-known port default risk.  These ports should not be providing services
52,XNS Time Protocol,50,Well-known port default risk.  These ports should not be providing services
53,Domain Name Server,60,Prohibited by policy
54,XNS Clearinghouse,50,Well-known port default risk.  These ports should not be providing services
55,ISI Graphics Language,50,Well-known port default risk.  These ports should not be providing services
56,XNS Authentication,50,Well-known port default risk.  These ports should not be providing services
57,any private terminal access,50,Well-known port default risk.  These ports should not be providing services
58,XNS Mail,50,Well-known port default risk.  These ports should not be providing services
59,any private file service,50,Well-known port default risk.  These ports should not be providing services
62,ACA Services,50,Well-known port default risk.  These ports should not be providing services
63,whois++,50,Well-known port default risk.  These ports should not be providing services
64,Communications Integrator (CI),50,Well-known port default risk.  These ports should not be providing services
65,TACACS-Database Service,50,Well-known port default risk.  These ports should not be providing services
66,Oracle SQL*NET,80,High likelihood of compromise
67,Bootstrap Protocol Server,50,Well-known port default risk.  These ports should not be providing services
68,Bootstrap Protocol Client,50,Well-known port default risk.  These ports should not be providing services
69,Trivial File Transfer,50,Well-known port default risk.  These ports should not be providing services
70,Gopher,50,Well-known port default risk.  These ports should not be providing services
71,Remote Job Service,50,Well-known port default risk.  These ports should not be providing services
72,Remote Job Service,50,Well-known port default risk.  These ports should not be providing services
73,Remote Job Service,50,Well-known port default risk.  These ports should not be providing services
74,Remote Job Service,50,Well-known port default risk.  These ports should not be providing services
75,any private dial out service,50,Well-known port default risk.  These ports should not be providing services
76,Distributed External Object Store,50,Well-known port default risk.  These ports should not be providing services
77,any private RJE service,50,Well-known port default risk.  These ports should not be providing services
78,vettcp,50,Well-known port default risk.  These ports should not be providing services
